message,count,symbols,fixed_attribute_values
"(19, 16, 24, 0)",2,"{(16, 24, 19)}","{(0, '?', 3)}"
"(19, 16, 25, 0)",7,"{(16, 25, 19)}","{(0, '?', '?')}"
"(19, 19, 19, 0)",2,"{(19,)}","{(0, '?', 3)}"
"(19, 19, 20, 0)",4,"{(19, 20)}","{('?', '?', 3)}"
"(19, 19, 4, 0)",2,"{(19, 4)}","{(0, '?', 3)}"
"(19, 21, 19, 0)",1,"{(19, 21)}","{(0, 6, 3)}"
"(19, 21, 20, 0)",2,"{(19, 20, 21)}","{(7, '?', 3)}"
"(19, 25, 16, 0)",5,"{(16, 25, 19)}","{(0, '?', '?')}"
"(19, 25, 18, 0)",2,"{(25, 18, 19)}","{(0, 1, '?')}"
"(19, 25, 19, 0)",3,"{(25, 19)}","{(0, '?', '?')}"
"(19, 25, 21, 0)",2,"{(25, 19, 21)}","{(0, 1, '?')}"
"(19, 25, 25, 0)",12,"{(25, 19)}","{(0, '?', '?')}"
"(19, 4, 16, 0)",4,"{(16, 19, 4)}","{(0, '?', '?')}"
"(19, 4, 19, 0)",8,"{(19, 4)}","{(0, '?', 3)}"
"(19, 4, 20, 0)",1,"{(19, 4, 20)}","{(7, 1, 3)}"
"(19, 4, 21, 0)",1,"{(19, 4, 21)}","{(0, 6, '?')}"
"(19, 4, 24, 0)",3,"{(24, 19, 4)}","{(0, '?', 3)}"
"(19, 4, 4, 0)",5,"{(19, 4)}","{(0, '?', '?')}"
"(2, 16, 16, 0)",5,"{(16, 2)}","{(0, '?', '?')}"
"(2, 16, 2, 0)",1,"{(16, 2)}","{(0, 4, 2)}"
"(2, 2, 16, 0)",5,"{(16, 2)}","{(6, '?', '?')}"
"(2, 2, 2, 0)",10,"{(2,)}","{('?', '?', '?')}"
"(2, 2, 20, 0)",8,"{(2, 20)}","{('?', '?', '?')}"
"(2, 2, 27, 0)",5,"{(2, 27)}","{(6, '?', '?')}"
"(2, 2, 4, 0)",2,"{(2, 4)}","{(6, '?', '?')}"
"(2, 2, 5, 0)",3,"{(2, 5)}","{('?', '?', '?')}"
"(2, 20, 20, 0)",5,"{(2, 20)}","{('?', '?', '?')}"
"(2, 20, 22, 0)",3,"{(2, 20, 22)}","{(4, '?', '?')}"
"(2, 20, 23, 0)",4,"{(2, 20, 23)}","{(4, '?', '?')}"
"(2, 20, 27, 0)",5,"{(2, 27, 20)}","{(6, '?', '?')}"
"(2, 20, 4, 0)",2,"{(2, 20, 4)}","{(6, 6, '?')}"
"(2, 20, 5, 0)",4,"{(2, 20, 5)}","{('?', '?', '?')}"
"(2, 22, 2, 0)",5,"{(2, 22)}","{(4, '?', '?')}"
"(2, 22, 20, 0)",1,"{(2, 20, 22)}","{('?', 7, 2)}"
"(2, 22, 22, 0)",7,"{(2, 22)}","{(4, '?', '?')}"
"(2, 22, 23, 0)",3,"{(2, 22, 23)}","{(4, '?', '?')}"
"(2, 23, 22, 0)",1,"{(2, 22, 23)}","{(4, 3, 6)}"
"(2, 23, 23, 0)",1,"{(2, 23)}","{(4, 3, 6)}"
"(2, 27, 27, 0)",3,"{(2, 27)}","{(6, '?', '?')}"
"(2, 4, 16, 0)",5,"{(16, 2, 4)}","{(0, '?', '?')}"
"(2, 4, 19, 0)",3,"{(2, 19, 4)}","{(0, '?', '?')}"
"(2, 4, 2, 0)",12,"{(2, 4)}","{(0, '?', '?')}"
"(2, 4, 21, 0)",2,"{(2, 4, 21)}","{(0, '?', '?')}"
"(2, 5, 20, 0)",3,"{(2, 20, 5)}","{('?', '?', '?')}"
"(2, 5, 5, 0)",2,"{(2, 5)}","{('?', '?', 2)}"
"(20, 16, 16, 0)",1,"{(16, 20)}","{(6, 2, '?')}"
"(20, 16, 25, 0)",3,"{(16, 25, 20)}","{(6, '?', '?')}"
"(20, 18, 16, 0)",6,"{(16, 18, 20)}","{('?', '?', '?')}"
"(20, 18, 2, 0)",3,"{(18, 2, 20)}","{(4, '?', '?')}"
"(20, 18, 22, 0)",1,"{(18, 20, 22)}","{(4, 0, 5)}"
"(20, 18, 25, 0)",4,"{(25, 18, 20)}","{(6, '?', '?')}"
"(20, 18, 7, 0)",2,"{(18, 20, 7)}","{(4, '?', 5)}"
"(20, 18, 8, 0)",1,"{(8, 18, 20)}","{(4, 7, 5)}"
"(20, 20, 16, 0)",2,"{(16, 20)}","{(6, '?', '?')}"
"(20, 20, 20, 0)",4,"{(20,)}","{('?', '?', '?')}"
"(20, 20, 27, 0)",4,"{(27, 20)}","{(6, '?', '?')}"
"(20, 20, 4, 0)",5,"{(20, 4)}","{(6, '?', '?')}"
"(20, 20, 5, 0)",2,"{(20, 5)}","{('?', '?', '?')}"
"(20, 23, 23, 0)",2,"{(20, 23)}","{(4, '?', '?')}"
"(20, 25, 16, 0)",1,"{(16, 25, 20)}","{(6, 2, 0)}"
"(20, 25, 18, 0)",5,"{(25, 18, 20)}","{(6, '?', '?')}"
"(20, 25, 19, 0)",1,"{(25, 19, 20)}","{(6, 3, 0)}"
"(20, 25, 21, 0)",2,"{(25, 20, 21)}","{(6, '?', 5)}"
"(20, 25, 25, 0)",5,"{(25, 20)}","{(6, '?', '?')}"
"(20, 27, 16, 0)",2,"{(16, 27, 20)}","{(6, '?', '?')}"
"(20, 27, 19, 0)",2,"{(19, 27, 20)}","{(6, 3, '?')}"
"(20, 27, 21, 0)",1,"{(27, 20, 21)}","{(6, 6, '?')}"
"(20, 27, 27, 0)",6,"{(27, 20)}","{(6, '?', '?')}"
"(20, 4, 19, 0)",2,"{(19, 20, 4)}","{(0, '?', '?')}"
"(20, 4, 21, 0)",2,"{(21, 20, 4)}","{(0, '?', '?')}"
"(20, 4, 4, 0)",2,"{(20, 4)}","{(0, '?', '?')}"
"(20, 5, 20, 0)",3,"{(20, 5)}","{('?', '?', '?')}"
"(20, 5, 5, 0)",2,"{(20, 5)}","{(2, '?', '?')}"
"(20, 7, 7, 0)",1,"{(20, 7)}","{(4, 0, 5)}"
"(21, 18, 18, 0)",4,"{(18, 21)}","{('?', '?', '?')}"
"(21, 18, 21, 0)",4,"{(18, 21)}","{('?', '?', '?')}"
"(21, 18, 23, 0)",8,"{(18, 21, 23)}","{('?', '?', '?')}"
"(21, 18, 25, 0)",2,"{(25, 18, 21)}","{(6, '?', '?')}"
"(21, 18, 5, 0)",10,"{(18, 5, 21)}","{('?', '?', '?')}"
"(21, 18, 7, 0)",5,"{(18, 21, 7)}","{(4, '?', '?')}"
"(21, 18, 8, 0)",5,"{(8, 18, 21)}","{(4, '?', '?')}"
"(21, 20, 20, 0)",2,"{(20, 21)}","{('?', '?', 3)}"
"(21, 20, 27, 0)",2,"{(27, 20, 21)}","{(6, '?', 3)}"
"(21, 21, 20, 0)",1,"{(20, 21)}","{('?', 6, 3)}"
"(21, 21, 5, 0)",2,"{(5, 21)}","{(2, '?', 3)}"
"(21, 23, 21, 0)",2,"{(21, 23)}","{(2, '?', 3)}"
"(21, 25, 16, 0)",1,"{(16, 25, 21)}","{(6, '?', 5)}"
"(21, 25, 18, 0)",5,"{(25, 18, 21)}","{(6, '?', '?')}"
"(21, 25, 19, 0)",1,"{(25, 19, 21)}","{(6, 7, 5)}"
"(21, 25, 21, 0)",3,"{(25, 21)}","{('?', '?', 5)}"
"(21, 25, 25, 0)",5,"{(25, 21)}","{(6, '?', '?')}"
"(21, 27, 21, 0)",1,"{(27, 21)}","{(6, 6, 3)}"
"(21, 27, 27, 0)",2,"{(27, 21)}","{(6, '?', 3)}"
"(21, 5, 18, 0)",1,"{(5, 18, 21)}","{(3, 3, 5)}"
"(21, 5, 20, 0)",2,"{(5, 20, 21)}","{(2, '?', 3)}"
"(21, 5, 21, 0)",5,"{(5, 21)}","{('?', '?', 3)}"
"(21, 5, 24, 0)",1,"{(24, 5, 21)}","{(2, 3, 3)}"
"(21, 5, 5, 0)",3,"{(5, 21)}","{(3, '?', '?')}"
"(21, 7, 7, 0)",7,"{(21, 7)}","{(4, '?', '?')}"
"(21, 7, 8, 0)",4,"{(8, 21, 7)}","{('?', '?', '?')}"
"(21, 8, 7, 0)",1,"{(8, 21, 7)}","{(4, 6, 5)}"
"(22, 2, 2, 0)",8,"{(2, 22)}","{('?', '?', '?')}"
"(22, 2, 20, 0)",4,"{(2, 20, 22)}","{(2, '?', 2)}"
"(22, 2, 5, 0)",1,"{(2, 5, 22)}","{(2, 7, 6)}"
"(22, 20, 5, 0)",1,"{(20, 5, 22)}","{(2, 7, 6)}"
"(22, 22, 22, 0)",2,"{(22,)}","{(4, '?', '?')}"
"(22, 22, 5, 0)",1,"{(5, 22)}","{(2, 7, 2)}"
"(22, 5, 20, 0)",3,"{(20, 5, 22)}","{(2, '?', '?')}"
"(22, 5, 5, 0)",2,"{(5, 22)}","{('?', '?', 2)}"
"(23, 2, 20, 0)",1,"{(2, 20, 23)}","{(2, 1, 6)}"
"(23, 20, 20, 0)",4,"{(20, 23)}","{(2, '?', '?')}"
"(23, 20, 23, 0)",1,"{(20, 23)}","{(2, 6, 2)}"
"(23, 20, 5, 0)",2,"{(20, 5, 23)}","{(3, '?', '?')}"
"(23, 23, 23, 0)",4,"{(23,)}","{('?', '?', '?')}"
"(23, 5, 20, 0)",3,"{(20, 5, 23)}","{('?', '?', 6)}"
"(23, 5, 5, 0)",3,"{(5, 23)}","{('?', '?', '?')}"
"(24, 16, 25, 0)",2,"{(24, 16, 25)}","{('?', '?', '?')}"
"(24, 18, 16, 0)",6,"{(24, 16, 18)}","{('?', '?', '?')}"
