message,count,symbols,fixed_attribute_values
"(16, 37, 38, 0)",5,"{(16, 37, 38)}","{('?', '?', '?')}"
"(16, 37, 43, 0)",5,"{(16, 43, 37)}","{('?', '?', '?')}"
"(16, 37, 44, 0)",4,"{(16, 44, 37)}","{('?', '?', '?')}"
"(16, 37, 48, 0)",1,"{(16, 48, 37)}","{(15, '?', 4)}"
"(16, 38, 37, 0)",1,"{(16, 37, 38)}","{(14, '?', 15)}"
"(16, 38, 45, 0)",1,"{(16, 45, 38)}","{(14, '?', 4)}"
"(16, 41, 12, 0)",2,"{(16, 41, 12)}","{('?', '?', 11)}"
"(16, 41, 14, 0)",1,"{(16, 41, 14)}","{(15, 12, 11)}"
"(16, 41, 16, 0)",2,"{(16, 41)}","{('?', '?', 11)}"
"(16, 41, 2, 0)",1,"{(16, 41, 2)}","{(6, 1, 11)}"
"(16, 41, 30, 0)",1,"{(16, 41, 30)}","{('?', 12, 8)}"
"(16, 41, 37, 0)",1,"{(16, 41, 37)}","{('?', 9, 11)}"
"(16, 41, 38, 0)",3,"{(16, 41, 38)}","{('?', '?', 11)}"
"(16, 41, 41, 0)",3,"{(16, 41)}","{('?', '?', 11)}"
"(16, 41, 43, 0)",2,"{(16, 41, 43)}","{('?', 12, 11)}"
"(16, 41, 48, 0)",1,"{(16, 41, 48)}","{(4, 12, 11)}"
"(16, 42, 43, 0)",1,"{(16, 42, 43)}","{(9, 9, 11)}"
"(16, 45, 12, 0)",1,"{(16, 12, 45)}","{(13, 9, 11)}"
"(16, 46, 12, 0)",3,"{(16, 12, 46)}","{('?', '?', 8)}"
"(16, 46, 14, 0)",2,"{(16, 46, 14)}","{('?', '?', 8)}"
"(16, 46, 16, 0)",3,"{(16, 46)}","{('?', '?', 8)}"
"(16, 46, 38, 0)",5,"{(16, 38, 46)}","{('?', '?', 8)}"
"(16, 46, 41, 0)",2,"{(16, 41, 46)}","{('?', '?', 8)}"
"(16, 46, 42, 0)",5,"{(16, 42, 46)}","{('?', '?', '?')}"
"(16, 46, 43, 0)",2,"{(16, 43, 46)}","{('?', '?', 8)}"
"(16, 46, 48, 0)",2,"{(16, 48, 46)}","{('?', '?', 8)}"
"(16, 48, 16, 0)",6,"{(16, 48)}","{(2, '?', '?')}"
"(16, 48, 18, 0)",1,"{(16, 48, 18)}","{(2, '?', 4)}"
"(16, 48, 37, 0)",1,"{(16, 48, 37)}","{(2, '?', 4)}"
"(16, 48, 41, 0)",1,"{(16, 41, 48)}","{(2, 12, 11)}"
"(16, 48, 45, 0)",1,"{(16, 48, 45)}","{(2, '?', 4)}"
"(16, 48, 46, 0)",1,"{(16, 48, 46)}","{(2, 12, 8)}"
"(16, 48, 6, 0)",1,"{(16, 48, 6)}","{(2, 9, 8)}"
"(16, 51, 14, 0)",1,"{(16, 51, 14)}","{(4, 9, 11)}"
"(16, 51, 43, 0)",2,"{(16, 43, 51)}","{('?', '?', 11)}"
"(16, 6, 30, 0)",1,"{(16, 6, 30)}","{('?', '?', 8)}"
"(16, 6, 41, 0)",2,"{(16, 41, 6)}","{('?', '?', 8)}"
"(16, 6, 42, 0)",3,"{(16, 42, 6)}","{('?', '?', 8)}"
"(16, 6, 48, 0)",1,"{(16, 48, 6)}","{(4, '?', 8)}"
"(16, 7, 7, 0)",1,"{(16, 7)}","{(1, '?', 8)}"
"(18, 12, 1, 0)",1,"{(1, 18, 12)}","{(8, '?', 14)}"
"(18, 12, 15, 0)",3,"{(18, 12, 15)}","{('?', '?', '?')}"
"(18, 12, 35, 0)",3,"{(18, 35, 12)}","{('?', 5, '?')}"
"(18, 12, 37, 0)",2,"{(18, 12, 37)}","{('?', '?', 14)}"
"(18, 12, 44, 0)",1,"{(18, 12, 44)}","{(13, '?', 7)}"
"(18, 13, 49, 0)",1,"{(49, 18, 13)}","{(8, 7, 7)}"
"(18, 13, 7, 0)",1,"{(18, 13, 7)}","{(8, 12, 14)}"
"(18, 14, 17, 0)",1,"{(17, 18, 14)}","{(14, 7, 7)}"
"(18, 14, 18, 0)",5,"{(18, 14)}","{(14, '?', '?')}"
"(18, 14, 21, 0)",3,"{(18, 21, 14)}","{(14, '?', '?')}"
"(18, 14, 28, 0)",1,"{(18, 28, 14)}","{(14, 9, 7)}"
"(18, 14, 34, 0)",2,"{(18, 34, 14)}","{(14, '?', '?')}"
"(18, 14, 40, 0)",1,"{(40, 18, 14)}","{(14, 9, 7)}"
"(18, 14, 41, 0)",4,"{(41, 18, 14)}","{('?', '?', '?')}"
"(18, 14, 42, 0)",3,"{(18, 42, 14)}","{(14, '?', '?')}"
"(18, 14, 45, 0)",10,"{(18, 45, 14)}","{('?', '?', '?')}"
"(18, 15, 1, 0)",1,"{(1, 18, 15)}","{(8, '?', 14)}"
"(18, 15, 15, 0)",3,"{(18, 15)}","{('?', '?', '?')}"
"(18, 15, 24, 0)",2,"{(24, 18, 15)}","{('?', '?', '?')}"
"(18, 15, 49, 0)",1,"{(49, 18, 15)}","{(8, 9, 14)}"
"(18, 15, 7, 0)",2,"{(18, 7, 15)}","{(8, '?', '?')}"
"(18, 16, 15, 0)",1,"{(16, 18, 15)}","{(6, '?', 14)}"
"(18, 16, 37, 0)",2,"{(16, 18, 37)}","{('?', '?', '?')}"
"(18, 16, 38, 0)",4,"{(16, 18, 38)}","{('?', '?', '?')}"
"(18, 16, 42, 0)",6,"{(16, 18, 42)}","{('?', '?', '?')}"
"(18, 16, 43, 0)",5,"{(16, 18, 43)}","{('?', '?', '?')}"
"(18, 16, 44, 0)",4,"{(16, 18, 44)}","{('?', '?', '?')}"
"(18, 2, 1, 0)",1,"{(1, 18, 2)}","{(1, 12, 14)}"
"(18, 2, 13, 0)",2,"{(18, 2, 13)}","{(8, 3, '?')}"
"(18, 2, 15, 0)",1,"{(18, 2, 15)}","{(1, 3, 14)}"
"(18, 2, 19, 0)",2,"{(19, 18, 2)}","{(8, 3, '?')}"
"(18, 2, 2, 0)",12,"{(18, 2)}","{('?', '?', '?')}"
"(18, 2, 31, 0)",1,"{(18, 2, 31)}","{(8, 12, 14)}"
"(18, 2, 49, 0)",8,"{(49, 18, 2)}","{('?', '?', '?')}"
"(18, 2, 7, 0)",4,"{(18, 2, 7)}","{('?', '?', '?')}"
"(18, 30, 14, 0)",1,"{(18, 30, 14)}","{(4, 3, 7)}"
"(18, 31, 24, 0)",3,"{(24, 18, 31)}","{('?', 5, '?')}"
"(18, 31, 31, 0)",2,"{(18, 31)}","{('?', 5, '?')}"
"(18, 31, 35, 0)",1,"{(18, 35, 31)}","{(7, 5, 14)}"
"(18, 37, 25, 0)",4,"{(25, 18, 37)}","{('?', 5, '?')}"
"(18, 37, 28, 0)",2,"{(18, 28, 37)}","{('?', 5, '?')}"
"(18, 37, 35, 0)",2,"{(18, 35, 37)}","{('?', 5, '?')}"
"(18, 37, 37, 0)",1,"{(18, 37)}","{('?', '?', 14)}"
"(18, 37, 38, 0)",2,"{(18, 37, 38)}","{(15, 9, '?')}"
"(18, 38, 28, 0)",3,"{(18, 28, 38)}","{(14, '?', '?')}"
"(18, 38, 34, 0)",1,"{(18, 34, 38)}","{(14, 9, 7)}"
"(18, 38, 35, 0)",1,"{(18, 35, 38)}","{(14, 5, 7)}"
"(18, 38, 4, 0)",1,"{(18, 4, 38)}","{(14, 5, 14)}"
"(18, 38, 40, 0)",1,"{(40, 18, 38)}","{(14, 5, 7)}"
"(18, 41, 14, 0)",4,"{(41, 18, 14)}","{('?', '?', 7)}"
"(18, 41, 18, 0)",1,"{(41, 18)}","{('?', 3, 14)}"
"(18, 41, 2, 0)",8,"{(41, 18, 2)}","{('?', '?', '?')}"
"(18, 41, 21, 0)",6,"{(41, 18, 21)}","{('?', '?', '?')}"
"(18, 41, 34, 0)",4,"{(41, 18, 34)}","{('?', '?', '?')}"
"(18, 41, 37, 0)",4,"{(41, 18, 37)}","{('?', '?', '?')}"
"(18, 41, 38, 0)",5,"{(41, 18, 38)}","{('?', '?', '?')}"
"(18, 41, 41, 0)",7,"{(41, 18)}","{('?', '?', '?')}"
"(18, 41, 42, 0)",5,"{(41, 18, 42)}","{('?', '?', '?')}"
"(18, 41, 43, 0)",7,"{(41, 18, 43)}","{('?', '?', '?')}"
"(18, 41, 44, 0)",3,"{(41, 18, 44)}","{('?', '?', '?')}"
"(18, 41, 45, 0)",3,"{(41, 18, 45)}","{('?', '?', '?')}"
"(18, 42, 40, 0)",3,"{(40, 18, 42)}","{('?', 9, '?')}"
"(18, 42, 42, 0)",17,"{(18, 42)}","{('?', '?', '?')}"
"(18, 42, 43, 0)",9,"{(18, 43, 42)}","{('?', '?', '?')}"
"(18, 43, 40, 0)",6,"{(40, 18, 43)}","{('?', '?', '?')}"
"(18, 43, 43, 0)",3,"{(18, 43)}","{('?', '?', '?')}"
"(18, 44, 21, 0)",4,"{(18, 44, 21)}","{('?', '?', '?')}"
"(18, 44, 28, 0)",1,"{(18, 44, 28)}","{(13, 5, 14)}"
"(18, 44, 31, 0)",1,"{(18, 44, 31)}","{(8, 9, 14)}"
"(18, 44, 34, 0)",7,"{(18, 44, 34)}","{('?', '?', '?')}"
"(18, 44, 35, 0)",4,"{(18, 35, 44)}","{('?', 5, '?')}"
"(18, 44, 37, 0)",2,"{(18, 44, 37)}","{('?', '?', 7)}"
