message,concepts
"(3, 46, 46, 0)","[(6, 9, 1), (13, 9, '?'), (6, 9, '?'), (13, 9, '?'), (13, 9, '?'), (13, 9, '?'), (6, 9, '?'), (13, 9, 3), (6, 9, '?'), (13, 9, '?')]"
"(3, 47, 47, 0)","[(15, '?', '?')]"
"(3, 48, 31, 0)","[(13, 13, 12), (13, 13, 12), (6, 2, 12), (6, 13, 12), (13, 11, 4), (13, 13, 12), (13, 11, 4), (13, 3, 4), (13, 10, 12), (6, 3, 4), (13, 13, 12), (13, 11, 4), (6, 3, 4), (6, 11, 12), (13, 11, 4), (13, 2, 12), (6, 10, 12), (6, 13, 4), (13, 3, 4), (13, 2, 12), (6, 2, 12), (13, 2, 12), (6, 13, 4), (6, 11, 12), (13, 11, 4), (13, 2, 12), (6, 2, 12), (13, 10, 12)]"
"(3, 48, 48, 0)","[(6, 15, 12), (6, 15, 12), (13, 4, 12), (13, 4, 12), (6, 15, 12), (13, 15, 4), (6, 15, 4)]"
"(3, 51, 29, 0)","[(13, 15, 3), (13, 4, 14)]"
"(3, 51, 47, 0)","[(3, '?', '?')]"
"(4, 3, 16, 0)","[(13, 3, '?')]"
"(4, 4, 4, 0)","[(13, '?', 3), (13, '?', 14), (6, '?', 3), (6, '?', 3), (6, '?', 3), (13, '?', 3), (6, '?', 14), (13, '?', 14), (13, '?', 1), (13, '?', 14), (13, '?', 14), (13, '?', 1), (13, '?', 3), (6, '?', 3), (6, '?', 14), (6, '?', 14), (13, '?', 14), (6, '?', 3), (6, '?', 1), (13, '?', 3), (13, '?', 3), (6, '?', 3), (6, '?', 3), (13, '?', 14), (13, '?', 1), (6, '?', 1), (6, '?', 3), (6, '?', 14), (6, '?', 14), (13, 1, 1), (6, '?', 1), (6, '?', 14), (13, '?', 14), (13, '?', 14)]"
"(4, 4, 5, 0)","[(13, '?', 3), (6, '?', 14)]"
"(4, 4, 10, 0)","[(6, 3, 3)]"
"(4, 4, 16, 0)","[(13, 13, 14), (6, 13, 3), (13, 2, 14), (13, 13, 14), (6, 2, 14), (13, 2, 14)]"
"(4, 4, 18, 0)","[(6, '?', 1), (6, '?', 14), (13, '?', 1)]"
"(4, 4, 29, 0)","[(13, 8, 14), (6, 4, 14), (13, 8, 3), (13, 15, 3), (6, 4, 1), (13, 15, 3), (13, 8, 14), (13, 8, 14), (6, 15, 14), (6, 15, 14), (13, 4, 1), (13, 15, 3), (6, 15, 14), (6, 8, 14), (13, 4, 14), (13, 15, 14), (13, 15, 14), (13, 8, 14), (6, 4, 14), (6, 4, 14), (6, 15, 3), (6, 4, 3), (13, 4, 14), (6, 15, 14), (6, 15, 3), (6, 4, 14), (6, 8, 14), (6, 4, 1), (13, 15, 14), (13, 8, 14), (6, 4, 1), (6, 4, 14), (6, 15, 14), (6, 15, 3), (6, 4, 3), (6, 4, 1), (6, 4, 3), (13, 15, 14), (13, 4, 14), (6, 4, 1), (13, 8, 3), (13, 8, 3), (13, 8, 3), (13, 4, 1), (13, 15, 14), (13, 15, 14), (6, 4, 3), (13, 4, 14)]"
"(4, 4, 40, 0)","[(7, '?', 3), (14, '?', 1), (14, '?', 1), (14, '?', 1), (7, '?', 3), (7, '?', 14), (7, '?', 3), (14, '?', 1), (7, '?', 3), (7, '?', 14), (7, '?', 14), (7, '?', 3), (14, '?', 1), (7, '?', 3), (7, '?', 14), (7, '?', 14), (7, '?', 3), (7, '?', 14), (7, '?', 14)]"
"(4, 13, 45, 0)","[(15, 0, 14)]"
"(4, 18, 10, 0)","[(6, 10, 1), (13, 10, 1), (6, 11, 1), (6, 10, 3), (6, 3, 1)]"
"(4, 18, 16, 0)","[(6, 11, 14), (6, 3, 14), (13, 13, 1), (13, 10, 1), (13, 10, 1), (13, 3, 3), (6, 10, 14), (13, 13, 3), (6, 13, 1), (6, 13, 3), (13, 3, 1), (13, 11, 14), (13, 3, 3), (13, 13, 1), (13, 10, 1), (13, 13, 3), (13, 2, 14), (13, 13, 3), (6, 10, 3), (13, 3, 1), (6, 11, 14), (13, 13, 14), (13, 2, 14), (13, 11, 14), (13, 13, 3), (13, 13, 1), (6, 10, 3), (6, 10, 1), (6, 13, 3), (6, 10, 3), (6, 10, 14), (13, 13, 1), (13, 10, 1), (6, 11, 1), (6, 10, 1), (13, 13, 1), (13, 10, 1), (6, 13, 1), (6, 3, 3), (6, 13, 3), (6, 11, 1), (6, 11, 1), (13, 13, 14), (13, 10, 1), (13, 13, 3), (6, 2, 1), (6, 11, 1), (13, 13, 14), (6, 2, 14), (6, 3, 14), (13, 3, 3), (6, 10, '?'), (13, 3, 1), (6, 11, 14), (6, 10, 14), (13, 3, 3), (6, 2, 14), (6, 13, 1), (13, 10, 1), (13, 11, 1), (13, 13, 3)]"
"(4, 18, 19, 0)","[(13, 11, 1), (6, 3, 14), (13, 2, 14), (6, 2, 1), (6, 13, 1), (6, 10, 3), (6, 3, 14), (6, 2, 1), (6, 3, 3), (13, 11, 14), (6, 3, 3), (6, 2, 14), (6, 3, 1), (13, 11, 14), (6, 3, 3), (13, 3, 1), (13, 11, 14), (6, 3, 1), (13, 11, 14), (6, 10, 3), (13, 2, 14), (6, 10, 3), (13, 3, 1), (6, 13, 3), (6, 3, 14), (6, 10, 14), (13, 11, 1), (6, 10, 3), (13, 11, 1), (13, 11, 14), (6, 3, 3), (6, 3, 14), (6, 11, 14), (6, 10, 3), (13, 11, 14), (13, 3, 1), (6, 10, 1), (6, 10, 1), (13, 3, 3), (13, 2, 14), (6, 10, 14), (6, 13, 1)]"
"(4, 18, 29, 0)","[(13, 15, 1), (13, 8, 14), (13, 8, 1), (6, 4, 3), (13, 8, 1), (13, 4, 14), (6, 15, 3), (13, 8, 14), (13, 8, 14), (13, 4, 14), (13, 8, 1), (13, 8, 3), (13, 8, 3), (6, 8, 14), (6, 15, 3), (6, 8, 14), (6, 8, 14), (6, 15, 14), (6, 4, 1), (6, 4, 3), (6, 4, 3), (6, 8, 14), (6, 8, 14), (13, 8, 1), (13, 15, 1), (6, 4, 14)]"
"(4, 21, 29, 0)","[(13, 15, 3), (13, 15, 1), (13, 8, 3), (13, 8, 1), (13, 4, 1), (13, 8, 3), (13, 15, 1), (13, 4, 1), (13, 8, 3), (13, 15, 3), (13, 4, 1)]"
"(4, 30, 4, 0)","[(13, 0, 3), (13, 0, 3), (13, 0, 3), (13, 1, 14)]"
"(4, 30, 5, 0)","[(13, 1, 3), (6, 1, 1), (6, 0, 1), (13, 1, 14), (13, 0, 1), (13, 0, 3), (13, 5, 1), (13, 0, 3), (13, 1, 1), (6, 0, 1), (13, 0, 14)]"
"(4, 30, 18, 0)","[(6, 0, 3)]"
"(4, 30, 40, 0)","[(7, 1, 14), (7, 1, 3), (7, 5, 14), (7, 0, 3), (14, 0, 1), (7, 0, 3), (14, 0, 3), (14, 5, 1), (14, 5, 14), (14, 5, 14), (14, 1, 3), (14, 0, 1), (14, 0, 14), (14, 0, 3), (14, 5, 1), (7, 0, 3), (14, 0, 3), (14, 1, 14), (7, 1, 3), (7, 5, 1), (7, 5, 1), (14, 5, 3), (14, 5, 14), (14, 0, 14), (14, 1, 14), (7, 0, 3), (14, 0, 1), (14, 5, 3), (14, 0, 3), (7, 1, 14), (14, 0, 3), (7, 5, 1), (7, 1, 14), (7, 0, 14), (14, 5, 3), (14, 0, 1), (7, 0, 3), (14, 0, 1), (7, 5, 14), (14, 1, 14), (14, 1, 14), (14, 5, 3), (14, 1, 3), (7, 5, 14), (7, 1, 3), (14, 1, 3), (7, 0, 3), (7, 5, 1), (7, 5, 1), (14, 5, 1), (7, 1, 14), (7, 1, 14), (14, 5, 1), (7, 0, 14), (7, 1, 3), (14, 5, 14), (7, 0, 3), (7, 0, 14), (14, 0, 1), (14, 5, 14), (7, 1, 3), (7, 5, 1), (14, 0, 3), (14, 5, 14), (14, 5, 3), (14, 1, 14), (7, 5, 14), (7, 5, 1), (14, 0, 14)]"
"(4, 30, 49, 0)","[(6, 0, 3), (13, 1, 3), (13, 0, 14), (6, 5, 3), (6, 0, 14), (13, 1, 14), (13, 1, 3), (6, 5, 3), (13, 5, 14), (6, 0, 3), (13, 5, 1), (13, 5, 14), (13, 0, 3), (13, 1, 14), (13, 0, 1), (13, 1, 1), (6, 0, 14), (13, 0, 14), (13, 5, 14), (6, 0, 3), (13, 0, 1), (13, 0, 1), (6, 0, 3), (6, 0, 14), (6, 5, 3), (13, 5, 1), (6, 5, 3), (13, 1, 14), (13, 0, 14), (6, 5, 3), (13, 5, 14), (6, 1, 1), (6, 0, 1), (6, 0, 1), (6, 5, 14), (6, 0, 1), (13, 0, 1), (6, 0, 3), (13, 1, 1), (6, 1, 1), (6, 1, 14), (6, 5, 3), (6, 0, 3), (6, 1, 14), (13, 0, 1), (6, 1, 1), (13, 0, 14), (6, 5, 14), (6, 1, 1), (13, 1, 14), (6, 5, 3), (6, 5, 14), (6, 1, 14), (13, 0, 14), (6, 0, 3), (13, 5, 1), (6, 0, 1), (6, 0, 3), (6, 0, 14), (6, 0, 1), (13, 5, 14), (13, 5, 1), (6, 5, 3), (13, 1, 1), (13, 1, 14), (13, 1, 1), (6, 1, 14), (13, 0, 14), (13, 5, 14), (13, 1, 3), (13, 5, 1), (13, 5, 14), (13, 5, 1)]"
"(4, 33, 46, 0)","[(13, 9, 1)]"
"(4, 40, 40, 0)","[(14, '?', 1)]"
